Localisation;Service;Fréquence Min (MHz);Fréquence Max (MHz);Preset
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;157.93125;157.99375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;157.93125;157.99375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;157.93125;157.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.00625;158.11875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.00625;158.11875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.00625;158.11875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.13125;158.39375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.13125;158.39375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.13125;158.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.39375;158.45625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.39375;158.45625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.39375;158.45625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.46875;158.51875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.46875;158.51875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.46875;158.51875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.53125;158.56875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.53125;158.56875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.53125;158.56875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.58125;158.59375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.58125;158.59375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.58125;158.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.69375;158.76875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.69375;158.76875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.69375;158.76875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;158.78125;159.51875;Oui
